id,student_id,transport_id,datum,afstand_km,status
120,24,5,2026-03-31,4,Te laat
121,25,9,2026-01-01,39,Afwezig
122,25,1,2026-03-12,39,Afwezig
123,25,8,2026-05-20,39,Afwezig
124,25,2,2026-03-31,39,Afwezig
125,25,1,2026-03-31,39,Afwezig
126,26,3,2026-04-23,16,Aanwezig
127,26,8,2026-04-15,16,Te laat
128,26,6,2026-03-09,16,Te laat
129,26,4,2026-02-24,16,Aanwezig
130,26,2,2026-05-09,16,Afwezig
131,27,7,2026-03-26,29,Afwezig
132,27,4,2026-02-07,29,Te laat
133,27,7,2026-03-06,29,Te laat
134,27,5,2026-03-27,29,Afwezig
135,27,6,2026-06-10,29,Afwezig
136,28,1,2026-05-19,34,Aanwezig
137,28,5,2026-05-28,34,Te laat
138,28,5,2026-04-05,34,Te laat
139,28,1,2026-04-09,34,Aanwezig
140,28,10,2026-03-16,34,Aanwezig
141,29,6,2026-02-24,14,Afwezig
142,29,7,2026-04-14,14,Afwezig
143,29,6,2026-04-08,14,Afwezig
144,29,4,2026-06-10,14,Aanwezig
145,29,8,2026-01-24,14,Afwezig
146,30,9,2026-05-17,21,Aanwezig
147,30,3,2026-01-08,21,Aanwezig
148,30,2,2026-03-27,21,Aanwezig
149,30,7,2026-05-10,21,Afwezig
150,30,3,2026-05-20,21,Te laat
151,31,5,2026-06-30,28,Te laat
152,31,10,2026-06-22,28,Aanwezig
153,31,9,2026-06-23,28,Te laat
154,31,10,2026-03-10,28,Te laat
155,31,4,2026-03-10,28,Afwezig
156,32,5,2026-06-18,2,Te laat
157,32,8,2026-03-30,2,Aanwezig
158,32,10,2026-04-12,2,Te laat
159,32,4,2026-03-06,2,Afwezig
160,32,1,2026-06-21,2,Aanwezig
161,33,10,2026-02-28,29,Afwezig
162,33,5,2026-01-30,29,Aanwezig
163,33,3,2026-02-09,29,Te laat
164,33,9,2026-04-14,29,Te laat
165,33,5,2026-01-29,29,Afwezig
166,34,7,2026-02-06,14,Afwezig
167,34,7,2026-01-10,14,Aanwezig
168,34,4,2026-04-21,14,Afwezig
169,34,2,2026-01-31,14,Afwezig
170,34,4,2026-06-17,14,Te laat
171,35,8,2026-04-05,14,Te laat
172,35,2,2026-06-30,14,Te laat
173,35,9,2026-03-09,14,Afwezig
174,35,2,2026-05-29,14,Te laat
175,35,2,2026-05-18,14,Aanwezig
176,36,1,2026-03-31,34,Afwezig
177,36,8,2026-02-02,34,Te laat
178,36,6,2026-03-04,34,Te laat
179,36,8,2026-01-17,34,Te laat
180,36,1,2026-03-07,34,Afwezig
181,37,3,2026-05-12,18,Afwezig
182,37,4,2026-06-04,18,Afwezig
183,37,9,2026-01-15,18,Afwezig
184,37,2,2026-02-10,18,Aanwezig
185,37,1,2026-05-02,18,Aanwezig
186,38,10,2026-05-14,38,Aanwezig
187,38,8,2026-02-21,38,Te laat
188,38,10,2026-02-23,38,Te laat
189,38,6,2026-01-30,38,Aanwezig
190,38,10,2026-05-05,38,Afwezig
191,39,4,2026-06-19,25,Te laat
192,39,10,2026-05-04,25,Afwezig
193,39,4,2026-04-29,25,Te laat
194,39,10,2026-04-02,25,Te laat
195,39,3,2026-05-01,25,Afwezig
196,40,5,2026-06-21,18,Aanwezig
197,40,3,2026-01-14,18,Afwezig
198,40,1,2026-01-19,18,Afwezig
199,40,8,2026-03-11,18,Afwezig
200,40,4,2026-04-17,18,Aanwezig
201,41,4,2026-06-02,36,Aanwezig
202,41,4,2026-06-26,36,Aanwezig
203,41,4,2026-06-16,36,Aanwezig
204,41,9,2026-02-18,36,Afwezig
205,41,6,2026-04-19,36,Afwezig
206,42,8,2026-03-14,4,Aanwezig
207,42,6,2026-04-11,4,Te laat
208,42,6,2026-06-15,4,Afwezig
209,42,5,2026-04-01,4,Aanwezig
210,42,8,2026-06-28,4,Afwezig
211,43,1,2026-02-14,15,Afwezig
212,43,2,2026-06-08,15,Te laat
213,43,1,2026-05-05,15,Afwezig
214,43,2,2026-04-09,15,Afwezig
215,43,3,2026-02-01,15,Afwezig
216,44,8,2026-02-02,10,Aanwezig
217,44,8,2026-05-01,10,Te laat
218,44,1,2026-04-04,10,Aanwezig
219,44,9,2026-03-25,10,Te laat
220,44,6,2026-04-17,10,Aanwezig
221,45,2,2026-04-27,28,Aanwezig
222,45,10,2026-02-04,28,Aanwezig
223,45,3,2026-05-20,28,Aanwezig
224,45,2,2026-06-12,28,Te laat
225,45,8,2026-01-28,28,Te laat
226,46,3,2026-05-27,15,Aanwezig
227,46,9,2026-06-26,15,Aanwezig
228,46,6,2026-05-21,15,Te laat
229,46,8,2026-03-25,15,Te laat
230,46,5,2026-01-06,15,Afwezig
231,47,10,2026-02-04,4,Aanwezig
232,47,4,2026-04-17,4,Aanwezig
233,47,10,2026-02-12,4,Afwezig
234,47,1,2026-04-10,4,Afwezig
235,47,1,2026-03-09,4,Afwezig
236,48,9,2026-03-03,27,Te laat
237,48,2,2026-05-16,27,Te laat
238,48,3,2026-04-11,27,Aanwezig
239,48,2,2026-03-30,27,Afwezig
240,48,5,2026-02-26,27,Te laat
241,49,9,2026-03-31,14,Afwezig
242,49,3,2026-02-17,14,Aanwezig
243,49,1,2026-05-29,14,Te laat
244,49,6,2026-05-16,14,Aanwezig
245,49,9,2026-04-11,14,Te laat
246,50,10,2026-06-30,8,Te laat
247,50,2,2026-01-25,8,Aanwezig
248,50,6,2026-03-14,8,Afwezig
249,50,9,2026-02-01,8,Afwezig
250,50,8,2026-05-14,8,Te laat
251,51,6,2026-02-12,34,Te laat
252,51,4,2026-06-14,34,Te laat
253,51,2,2026-01-12,34,Te laat
254,51,3,2026-03-11,34,Te laat
255,51,3,2026-06-28,34,Aanwezig
256,52,6,2026-03-17,28,Aanwezig
257,52,4,2026-01-06,28,Te laat
258,52,1,2026-06-11,28,Afwezig
259,52,1,2026-03-06,28,Afwezig
260,52,8,2026-02-21,28,Aanwezig
261,53,9,2026-04-14,11,Afwezig
262,53,9,2026-03-15,11,Afwezig
263,53,9,2026-04-24,11,Aanwezig
264,53,3,2026-05-01,11,Aanwezig
265,53,3,2026-02-18,11,Aanwezig
266,54,7,2026-01-09,17,Aanwezig
267,54,3,2026-04-04,17,Te laat
268,54,3,2026-02-12,17,Aanwezig
269,54,2,2026-06-12,17,Afwezig
270,54,4,2026-03-30,17,Afwezig
271,55,4,2026-01-31,30,Aanwezig
272,55,3,2026-06-24,30,Te laat
273,55,7,2026-03-09,30,Afwezig
274,55,1,2026-03-18,30,Aanwezig
275,55,2,2026-03-25,30,Aanwezig
276,56,3,2026-06-03,38,Aanwezig
277,56,5,2026-05-13,38,Aanwezig
278,56,9,2026-01-22,38,Te laat
279,56,9,2026-03-26,38,Afwezig
280,56,5,2026-06-09,38,Te laat
281,57,4,2026-01-10,19,Afwezig
282,57,2,2026-03-01,19,Aanwezig
283,57,8,2026-02-25,19,Te laat
284,57,8,2026-03-08,19,Te laat
285,57,8,2026-03-19,19,Te laat
286,58,7,2026-06-20,4,Te laat
287,58,9,2026-02-04,4,Afwezig
288,58,7,2026-03-04,4,Aanwezig
289,58,7,2026-06-18,4,Afwezig
290,58,6,2026-01-23,4,Afwezig
291,59,3,2026-01-25,25,Aanwezig
292,59,9,2026-02-06,25,Afwezig
293,59,7,2026-02-25,25,Afwezig
294,59,2,2026-05-19,25,Aanwezig
295,59,3,2026-03-13,25,Aanwezig
296,60,2,2026-04-19,3,Aanwezig
297,60,10,2026-06-11,3,Afwezig
298,60,7,2026-02-05,3,Afwezig
299,60,3,2026-01-30,3,Te laat
300,60,10,2026-05-18,3,Te laat
301,61,2,2026-01-26,5,Te laat
302,61,5,2026-06-19,5,Afwezig
303,61,8,2026-03-18,5,Te laat
304,61,8,2026-05-01,5,Te laat
305,61,10,2026-06-25,5,Aanwezig
306,62,8,2026-04-18,6,Te laat
307,62,9,2026-01-05,6,Te laat
308,62,7,2026-05-26,6,Te laat
309,62,5,2026-01-09,6,Te laat
310,62,6,2026-04-09,6,Aanwezig
311,63,10,2026-01-07,15,Te laat
312,63,7,2026-06-19,15,Afwezig
313,63,7,2026-04-16,15,Te laat
314,63,2,2026-06-23,15,Te laat
315,63,1,2026-04-10,15,Afwezig
316,64,10,2026-03-14,39,Afwezig
317,64,4,2026-04-15,39,Afwezig
318,64,2,2026-02-24,39,Te laat
319,64,4,2026-02-06,39,Afwezig
320,64,5,2026-06-04,39,Aanwezig
321,65,2,2026-04-12,38,Afwezig
322,65,4,2026-05-12,38,Afwezig
323,65,1,2026-01-17,38,Afwezig
324,65,5,2026-04-07,38,Afwezig
325,65,6,2026-03-26,38,Aanwezig
326,66,5,2026-01-22,37,Afwezig
327,66,4,2026-02-12,37,Afwezig
328,66,5,2026-03-09,37,Afwezig
329,66,9,2026-03-09,37,Aanwezig
330,66,5,2026-06-21,37,Aanwezig
331,67,3,2026-04-29,13,Afwezig
332,67,5,2026-01-15,13,Afwezig
333,67,6,2026-05-26,13,Te laat
334,67,4,2026-05-23,13,Aanwezig
335,67,10,2026-01-16,13,Te laat
336,68,5,2026-03-17,36,Aanwezig
337,68,8,2026-06-21,36,Te laat
338,68,8,2026-05-26,36,Afwezig
339,68,5,2026-06-08,36,Te laat
340,68,10,2026-02-26,36,Aanwezig
341,69,6,2026-01-17,3,Afwezig
342,69,7,2026-06-12,3,Afwezig
343,69,9,2026-06-14,3,Afwezig
344,69,8,2026-06-27,3,Aanwezig
345,69,3,2026-02-15,3,Te laat
346,70,6,2026-03-22,17,Te laat
347,70,3,2026-04-19,17,Te laat
348,70,2,2026-05-02,17,Aanwezig
349,70,10,2026-06-28,17,Afwezig
350,70,8,2026-03-28,17,Aanwezig
351,71,9,2026-01-21,32,Afwezig
352,71,9,2026-02-09,32,Te laat
353,71,7,2026-02-18,32,Aanwezig
354,71,4,2026-05-03,32,Afwezig
355,71,9,2026-04-08,32,Afwezig
356,72,2,2026-04-13,12,Afwezig
357,72,2,2026-05-28,12,Te laat
358,72,5,2026-04-20,12,Aanwezig
359,72,1,2026-06-04,12,Te laat
360,72,6,2026-05-07,12,Te laat
361,73,2,2026-05-30,38,Te laat
362,73,8,2026-03-26,38,Aanwezig
363,73,8,2026-04-21,38,Te laat
364,73,7,2026-01-14,38,Afwezig
365,73,3,2026-06-09,38,Aanwezig
366,74,3,2026-05-19,38,Aanwezig
367,74,6,2026-01-31,38,Afwezig
368,74,2,2026-01-17,38,Te laat
369,74,7,2026-05-03,38,Afwezig
370,74,9,2026-03-10,38,Aanwezig
371,75,6,2026-05-08,22,Aanwezig
372,75,7,2026-04-01,22,Aanwezig
373,75,2,2026-02-21,22,Te laat
374,75,8,2026-06-14,22,Aanwezig
375,75,3,2026-06-26,22,Aanwezig
376,76,1,2026-06-09,4,Afwezig
377,76,10,2026-04-03,4,Te laat
378,76,6,2026-02-24,4,Afwezig
379,76,10,2026-02-10,4,Te laat
380,76,6,2026-02-25,4,Te laat
381,77,2,2026-04-09,14,Afwezig
382,77,1,2026-05-28,14,Aanwezig
383,77,4,2026-01-18,14,Afwezig
384,77,9,2026-01-13,14,Te laat
385,77,8,2026-01-28,14,Aanwezig
386,78,10,2026-01-22,3,Aanwezig
387,78,6,2026-06-22,3,Te laat
388,78,9,2026-06-15,3,Te laat
389,78,10,2026-05-30,3,Te laat
390,78,9,2026-04-20,3,Te laat
391,79,1,2026-04-08,39,Afwezig
392,79,9,2026-03-09,39,Aanwezig
393,79,9,2026-02-11,39,Afwezig
394,79,4,2026-03-01,39,Te laat
395,79,1,2026-03-01,39,Afwezig
396,80,9,2026-02-17,10,Te laat
397,80,2,2026-04-04,10,Te laat
398,80,8,2026-01-13,10,Aanwezig
399,80,9,2026-02-16,10,Afwezig
400,80,8,2026-05-08,10,Aanwezig
401,81,10,2026-05-14,34,Te laat
402,81,6,2026-01-28,34,Aanwezig
403,81,6,2026-02-01,34,Afwezig
404,81,5,2026-05-23,34,Aanwezig
405,81,3,2026-01-04,34,Afwezig
406,82,9,2026-05-06,20,Afwezig
407,82,7,2026-03-06,20,Aanwezig
408,82,2,2026-02-23,20,Te laat
409,82,5,2026-06-22,20,Afwezig
410,82,2,2026-01-13,20,Aanwezig
411,83,2,2026-01-30,29,Afwezig
412,83,5,2026-06-27,29,Te laat
413,83,5,2026-04-27,29,Afwezig
414,83,10,2026-01-01,29,Te laat
415,83,6,2026-03-18,29,Afwezig
416,84,10,2026-03-02,5,Te laat
417,84,10,2026-04-16,5,Afwezig
418,84,10,2026-04-13,5,Afwezig
419,84,6,2026-06-28,5,Afwezig
420,84,6,2026-05-28,5,Afwezig
421,85,2,2026-04-02,20,Afwezig
422,85,5,2026-01-21,20,Aanwezig
423,85,4,2026-03-28,20,Afwezig
424,85,10,2026-06-25,20,Afwezig
425,85,3,2026-01-27,20,Afwezig
426,86,7,2026-06-08,22,Te laat
427,86,4,2026-05-06,22,Aanwezig
428,86,2,2026-06-03,22,Te laat
429,86,9,2026-01-22,22,Te laat
430,86,3,2026-01-27,22,Afwezig
431,87,2,2026-04-03,17,Aanwezig
432,87,6,2026-05-30,17,Afwezig
433,87,8,2026-04-16,17,Aanwezig
434,87,5,2026-02-08,17,Aanwezig
435,87,3,2026-04-27,17,Te laat
436,88,6,2026-03-02,10,Afwezig
437,88,1,2026-06-17,10,Afwezig
438,88,3,2026-02-02,10,Afwezig
439,88,8,2026-06-25,10,Afwezig
440,88,8,2026-03-09,10,Te laat
441,89,10,2026-04-22,17,Te laat
442,89,4,2026-04-11,17,Afwezig
443,89,2,2026-03-21,17,Afwezig
444,89,8,2026-01-07,17,Aanwezig
445,89,3,2026-02-05,17,Te laat
446,90,10,2026-01-21,15,Aanwezig
447,90,1,2026-04-01,15,Afwezig
448,90,8,2026-01-07,15,Aanwezig
449,90,3,2026-06-16,15,Afwezig
450,90,2,2026-03-13,15,Aanwezig
451,91,3,2026-06-03,9,Te laat
452,91,2,2026-05-24,9,Aanwezig
453,91,8,2026-02-17,9,Te laat
454,91,7,2026-05-02,9,Te laat
455,91,2,2026-05-05,9,Te laat
456,92,5,2026-03-09,12,Te laat
457,92,3,2026-05-07,12,Te laat
458,92,8,2026-05-03,12,Te laat
459,92,2,2026-02-16,12,Te laat
460,92,3,2026-06-13,12,Afwezig
461,93,3,2026-04-12,2,Aanwezig
462,93,3,2026-05-12,2,Te laat
463,93,1,2026-02-15,2,Aanwezig
464,93,7,2026-04-26,2,Aanwezig
465,93,7,2026-05-16,2,Te laat
466,94,2,2026-05-07,14,Afwezig
467,94,5,2026-02-26,14,Te laat
468,94,5,2026-02-04,14,Aanwezig
469,94,2,2026-04-02,14,Te laat
470,94,3,2026-03-11,14,Aanwezig
471,95,5,2026-03-13,19,Aanwezig
472,95,4,2026-04-16,19,Te laat
473,95,1,2026-02-23,19,Afwezig
474,95,1,2026-01-08,19,Afwezig
475,95,10,2026-05-08,19,Afwezig
476,96,9,2026-04-28,23,Aanwezig
477,96,9,2026-06-29,23,Aanwezig
478,96,3,2026-01-10,23,Afwezig
479,96,10,2026-06-29,23,Aanwezig
480,96,8,2026-04-29,23,Aanwezig
481,97,1,2026-06-22,7,Aanwezig
482,97,6,2026-04-27,7,Te laat
483,97,10,2026-01-10,7,Te laat
484,97,5,2026-04-18,7,Aanwezig
485,97,5,2026-01-20,7,Afwezig
486,98,7,2026-06-27,24,Afwezig
487,98,2,2026-05-10,24,Te laat
488,98,6,2026-04-26,24,Aanwezig
489,98,9,2026-03-05,24,Te laat
490,98,5,2026-04-25,24,Te laat
491,99,9,2026-01-30,21,Afwezig
492,99,5,2026-02-17,21,Aanwezig
493,99,9,2026-05-01,21,Te laat
494,99,8,2026-01-04,21,Te laat
495,99,4,2026-03-21,21,Te laat
496,100,9,2026-04-30,16,Aanwezig
497,100,8,2026-03-05,16,Te laat
498,100,2,2026-04-12,16,Afwezig
499,100,3,2026-06-28,16,Te laat
500,100,6,2026-03-11,16,Te laat
501,101,6,2026-02-22,1,Te laat
502,101,1,2026-05-16,1,Aanwezig
503,101,7,2026-03-18,1,Afwezig
504,101,8,2026-02-25,1,Te laat
505,101,7,2026-05-22,1,Te laat
506,102,8,2026-02-01,18,Te laat
507,102,7,2026-05-19,18,Afwezig
508,102,7,2026-01-05,18,Afwezig
509,102,3,2026-02-28,18,Aanwezig
510,102,5,2026-03-17,18,Afwezig
511,103,6,2026-03-21,5,Aanwezig
512,103,9,2026-04-10,5,Afwezig
513,103,9,2026-01-30,5,Aanwezig
514,103,10,2026-04-15,5,Aanwezig
515,103,2,2026-01-21,5,Afwezig
516,104,9,2026-03-01,8,Aanwezig
517,104,6,2026-04-03,8,Afwezig
518,104,9,2026-05-29,8,Afwezig
519,104,3,2026-05-27,8,Aanwezig
520,104,2,2026-05-05,8,Te laat
521,105,8,2026-05-22,18,Aanwezig
522,105,4,2026-06-11,18,Te laat
523,105,9,2026-05-08,18,Aanwezig
524,105,4,2026-03-02,18,Aanwezig
525,105,4,2026-03-10,18,Afwezig
526,106,9,2026-01-25,11,Aanwezig
527,106,8,2026-01-29,11,Aanwezig
528,106,1,2026-05-05,11,Aanwezig
529,106,8,2026-06-16,11,Aanwezig
530,106,4,2026-03-12,11,Aanwezig
531,107,10,2026-04-25,37,Afwezig
532,107,7,2026-03-12,37,Te laat
533,107,4,2026-04-19,37,Afwezig
534,107,1,2026-05-19,37,Aanwezig
535,107,5,2026-06-26,37,Aanwezig
536,108,1,2026-03-22,28,Te laat
537,108,8,2026-04-13,28,Te laat
538,108,7,2026-03-20,28,Te laat
539,108,10,2026-05-17,28,Aanwezig
540,108,1,2026-04-30,28,Te laat
541,109,1,2026-03-29,19,Afwezig
542,109,3,2026-02-14,19,Aanwezig
543,109,1,2026-04-29,19,Te laat
544,109,3,2026-05-10,19,Aanwezig
545,109,9,2026-06-23,19,Afwezig
546,110,9,2026-02-09,16,Te laat
547,110,8,2026-04-24,16,Aanwezig
548,110,7,2026-01-01,16,Aanwezig
549,110,9,2026-02-02,16,Afwezig
550,110,9,2026-02-18,16,Afwezig
551,111,7,2026-06-25,37,Te laat
552,111,4,2026-02-17,37,Afwezig
553,111,9,2026-02-28,37,Afwezig
554,111,4,2026-05-30,37,Aanwezig
555,111,8,2026-03-20,37,Afwezig
556,112,5,2026-02-10,20,Afwezig
557,112,6,2026-01-18,20,Aanwezig
558,112,10,2026-02-08,20,Aanwezig
559,112,3,2026-03-08,20,Aanwezig
560,112,4,2026-03-24,20,Afwezig
561,113,5,2026-06-09,20,Aanwezig
562,113,10,2026-06-07,20,Te laat
563,113,5,2026-04-05,20,Te laat
564,113,10,2026-06-29,20,Aanwezig
565,113,4,2026-03-18,20,Afwezig
566,114,9,2026-03-12,40,Aanwezig
567,114,9,2026-02-01,40,Te laat
568,114,2,2026-01-09,40,Te laat
569,114,7,2026-05-07,40,Aanwezig
570,114,1,2026-01-26,40,Afwezig
571,115,6,2026-03-31,18,Afwezig
572,115,1,2026-04-23,18,Aanwezig
573,115,3,2026-05-05,18,Te laat
574,115,6,2026-05-27,18,Te laat
575,115,1,2026-05-08,18,Aanwezig
576,116,10,2026-06-28,1,Afwezig
577,116,7,2026-04-16,1,Afwezig
578,116,5,2026-03-07,1,Afwezig
579,116,3,2026-05-02,1,Afwezig
580,116,5,2026-03-01,1,Te laat
581,117,7,2026-06-23,23,Aanwezig
582,117,10,2026-06-09,23,Afwezig
583,117,2,2026-04-30,23,Aanwezig
584,117,7,2026-05-06,23,Te laat
585,117,8,2026-06-29,23,Te laat
586,118,5,2026-04-06,21,Aanwezig
587,118,6,2026-03-09,21,Te laat
588,118,6,2026-04-12,21,Afwezig
589,118,5,2026-05-14,21,Aanwezig
590,118,2,2026-05-13,21,Te laat
591,119,10,2026-03-18,8,Aanwezig
592,119,8,2026-06-28,8,Te laat
593,119,1,2026-02-15,8,Aanwezig
594,119,5,2026-05-11,8,Afwezig
595,119,9,2026-06-29,8,Te laat
596,120,3,2026-04-08,36,Afwezig
597,120,9,2026-04-28,36,Aanwezig
598,120,6,2026-02-09,36,Te laat
599,120,1,2026-03-25,36,Aanwezig
600,120,5,2026-04-02,36,Te laat
601,121,7,2026-05-06,23,Afwezig
602,121,2,2026-06-17,23,Afwezig
603,121,4,2026-03-25,23,Afwezig
604,121,5,2026-04-27,23,Afwezig
605,121,3,2026-02-25,23,Afwezig
606,122,6,2026-04-08,32,Aanwezig
607,122,9,2026-01-02,32,Te laat
608,122,5,2026-03-08,32,Afwezig
609,122,5,2026-02-05,32,Te laat
610,122,1,2026-05-11,32,Aanwezig
611,123,1,2026-02-27,31,Aanwezig
612,123,5,2026-02-15,31,Te laat
613,123,2,2026-02-10,31,Afwezig
614,123,7,2026-06-09,31,Aanwezig
615,123,2,2026-02-02,31,Te laat
616,124,7,2026-01-15,27,Te laat
617,124,7,2026-04-21,27,Afwezig
618,124,6,2026-04-30,27,Te laat
619,124,6,2026-06-09,27,Afwezig
620,124,3,2026-03-24,27,Aanwezig
621,125,6,2026-06-06,18,Te laat
622,125,3,2026-03-12,18,Aanwezig
623,125,10,2026-05-08,18,Afwezig
624,125,1,2026-05-29,18,Afwezig
625,125,10,2026-03-24,18,Te laat
626,126,9,2026-01-05,23,Afwezig
627,126,6,2026-01-03,23,Afwezig
628,126,8,2026-01-31,23,Afwezig
629,126,2,2026-02-10,23,Aanwezig
630,126,7,2026-06-14,23,Aanwezig
631,127,4,2026-04-19,39,Afwezig
632,127,3,2026-05-01,39,Te laat
633,127,1,2026-03-26,39,Afwezig
634,127,2,2026-01-22,39,Te laat
635,127,10,2026-01-04,39,Afwezig
636,128,5,2026-06-06,28,Te laat
637,128,5,2026-06-29,28,Afwezig
638,128,10,2026-06-17,28,Aanwezig
639,128,8,2026-04-13,28,Te laat
640,128,2,2026-03-21,28,Aanwezig
641,129,4,2026-03-02,23,Te laat
642,129,10,2026-06-18,23,Afwezig
643,129,5,2026-04-18,23,Afwezig
644,129,4,2026-05-27,23,Te laat
645,129,5,2026-05-09,23,Te laat
646,130,3,2026-06-22,39,Aanwezig
647,130,2,2026-05-02,39,Te laat
648,130,1,2026-04-10,39,Te laat
649,130,5,2026-01-04,39,Aanwezig
650,130,1,2026-06-21,39,Te laat
651,131,3,2026-01-30,9,Aanwezig
652,131,5,2026-06-08,9,Te laat
653,131,10,2026-05-21,9,Aanwezig
654,131,1,2026-05-26,9,Te laat
655,131,8,2026-05-26,9,Aanwezig
656,132,5,2026-04-05,13,Afwezig
657,132,5,2026-04-15,13,Aanwezig
658,132,2,2026-06-06,13,Aanwezig
659,132,5,2026-03-21,13,Te laat
660,132,1,2026-03-08,13,Te laat
661,133,3,2026-01-17,20,Afwezig
662,133,4,2026-04-07,20,Te laat
663,133,9,2026-03-10,20,Aanwezig
664,133,1,2026-01-17,20,Te laat
665,133,2,2026-04-22,20,Aanwezig
